host_name,planet_letter,planet_name,controversial_flag,orbital_period,orbital_radius,eccentricity,planet_mass,planet_radius,optical_magnitude,near_ir_magnitude,spectral_type,stellar_temperature,stellar_surface_gravity,stellar_luminosity,stellar_mass,stellar_radius,stellar_metallicity,stellar_age
CoRoT-22,b,CoRoT-22 b,0,9.75598,0.092,0.077,12.2,4.88,13.944,11.988,G3 V,5939.0,4.36,0.013999999999999999,1.1,1.14,0.17,3.3
CoRoT-23,b,CoRoT-23 b,0,3.6313,0.048,0.16,889.9,11.77,15.63,12.364,G0 V,5900.0,4.3,0.087,1.14,1.61,0.05,7.2
CoRoT-24,b,CoRoT-24 b,0,5.1134,0.056,0.0,5.7,3.7,15.18,12.924000000000001,K1 V,4950.0,4.55,-0.601,0.91,0.86,0.3,11.0
CoRoT-24,c,CoRoT-24 c,0,11.759,0.098,0.0,28.0,5.0,15.18,12.924000000000001,K1 V,4950.0,4.55,-0.601,0.91,0.86,0.3,11.0
CoRoT-25,b,CoRoT-25 b,0,4.86069,0.0578,0.0,85.81,12.11,14.710999999999999,12.845999999999998,F9,6040.0,4.31,0.141,1.09,1.19,-0.01,4.5
CoRoT-26,b,CoRoT-26 b,0,4.20474,0.0526,0.0,165.26,14.12,15.468,13.261,G5,5590.0,3.99,0.451,1.09,1.79,0.01,8.6
CoRoT-27,b,CoRoT-27 b,0,3.57532,0.0476,0.065,3302.11,11.287,15.54,12.985,G2,5900.0,4.4,-0.166,1.05,1.08,-0.1,4.21
CoRoT-28,b,CoRoT-28 b,0,5.20851,0.0603,0.047,153.82972,10.705,13.412,11.032,G8/9 IV,5150.0,3.6,0.38799999999999996,1.01,1.78,0.15,12.0
CoRoT-29,b,CoRoT-29 b,0,2.85057,0.0386,0.082,270.1555,10.088,15.239,13.048,K0 V,5260.0,4.3,-0.34700000000000003,0.97,0.9,0.2,4.5
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,0,246.36,0.36,0.345,9057.77,11.9,18.558,12.062000000000001,L1.5,,,,0.07,,,1.0
GJ 86,b,GJ 86 b,0,15.76491,0.11,0.04,1404.8086,12.9,6.12,4.125,K1 V,5182.0,4.63,-0.39,0.93,0.77,-0.22,11.3
HAT-P-19,b,HAT-P-19 b,0,4.008778,0.0466,0.067,92.802,12.689,12.901,10.546,K1,4990.0,4.54,-0.43200000000000005,0.84,0.82,0.23,8.8
HAT-P-20,b,HAT-P-20 b,0,2.875317,0.0361,0.015,2302.899,9.718,11.339,8.601,K3,4595.0,4.63,-0.721,0.76,0.69,0.35,6.7
HAT-P-21,b,HAT-P-21 b,0,4.12448,0.0494,0.23,1547.8321,12.442,11.685,10.111,G3,5588.0,4.33,0.14800000000000002,1.24,1.21,0.01,10.2
HAT-P-22,b,HAT-P-22 b,0,3.21222,0.0414,0.02,785.0401,12.89,9.732000000000001,7.837000000000001,G5,5302.0,4.36,-0.087,1.13,1.11,0.24,12.4
HAT-P-23,b,HAT-P-23 b,0,1.21288,0.0232,0.11,425.8922,12.218,12.432,10.790999999999999,G0,5905.0,4.33,0.13699999999999998,0.58,0.96,0.15,4.0
HAT-P-24,b,HAT-P-24 b,0,3.35524,0.04651,0.07,238.3725,14.572000000000001,11.818,10.543,F8,6373.0,4.27,0.45399999999999996,1.37,1.38,-0.16,2.8
HAT-P-25,b,HAT-P-25 b,0,3.65281514,0.0466,0.023,180.84527,12.722000000000001,13.19,10.815,G5,5519.0,4.52,-0.152,1.01,0.92,0.294,3.2
HAT-P-26,b,HAT-P-26 b,0,4.23452,0.0479,0.12,22.2481,7.062,11.744000000000002,9.581,K1,5079.0,4.56,-0.368,1.12,0.87,-0.04,9.0
HAT-P-27,b,HAT-P-27 b,0,3.039577,0.04,0.0,197.05,11.43,11.956,10.109,G8,5300.0,4.51,-0.244,0.94,0.9,0.29,4.4
HAT-P-28,b,HAT-P-28 b,0,3.257215,0.0434,0.051,198.953,13.585,13.03,11.104000000000001,G3,5680.0,4.36,0.053,1.02,1.1,0.12,6.1
HAT-P-29,b,HAT-P-29 b,0,5.72319,0.0667,0.09,279.6904,13.115,11.9,10.297,F8,6087.0,4.34,0.185,1.45,1.3,0.21,2.2
HAT-P-30,b,HAT-P-30 b,0,2.8106,0.0419,0.04,263.7989,16.141,10.419,9.151,F7,6304.0,4.36,0.41,1.55,1.31,0.13,1.0
HAT-P-31,b,HAT-P-31 b,0,5.00542,0.061,0.25,721.4741,12.218,11.66,10.083,,6065.0,4.26,0.37200000000000005,1.31,1.39,0.15,3.17
HAT-P-32,b,HAT-P-32 b,0,2.1500082,0.03397,0.159,216.1244,22.194000000000003,11.289000000000001,9.99,,6001.0,4.22,0.33799999999999997,1.13,1.37,-0.16,2.7
HAT-P-33,b,HAT-P-33 b,0,3.47447,0.04995,0.0,292.4036,20.737,11.187999999999999,10.004,F4,6446.0,4.15,0.659,1.82,1.79,0.05,2.3
HAT-P-34,b,HAT-P-34 b,0,5.45265,0.06774,0.44,2227.9883,15.132,10.162,9.247,,6442.0,4.21,0.585,4.26,1.73,0.22,1.7
HAT-P-35,b,HAT-P-35 b,0,3.64671,0.0498,0.03,2390.0816,39.792,12.46,11.03,,6096.0,4.21,0.374,23.56,3.82,0.11,3.5
Kepler-115,b,Kepler-115 b,0,2.403679,0.036,,1.32,1.09,13.392000000000001,11.97,,5979.0,4.31,0.121,1.07,1.21,0.07,4.57
Kepler-115,c,Kepler-115 c,0,8.990889,0.087,,7.27,2.6,13.392000000000001,11.97,,5979.0,4.31,0.121,1.07,1.21,0.07,4.57
Kepler-116,b,Kepler-116 b,0,5.968734,0.069,,11.6,3.42,13.689,12.383,,6142.0,4.2,0.374,1.21,1.45,0.04,3.31
Kepler-116,c,Kepler-116 c,0,13.07163,0.116,,5.9,2.3,13.689,12.383,,6142.0,4.2,0.374,1.21,1.45,0.04,3.31
Kepler-117,b,Kepler-117 b,0,18.7959228,0.1445,0.0493,29.875,8.059,14.247,13.011,F8 V,6150.0,4.1,0.532,1.13,1.61,-0.04,5.3
Kepler-117,c,Kepler-117 c,0,50.790391,0.2804,0.0323,584.78,12.341,14.247,13.011,F8 V,6150.0,4.1,0.532,1.13,1.61,-0.04,5.3
Kepler-118,b,Kepler-118 b,0,7.518496,0.073,,4.5,1.96,14.719000000000001,12.710999999999999,,5274.0,4.32,-0.428,0.85,1.09,-0.01,4.68
Kepler-118,c,Kepler-118 c,0,20.17202,0.141,,45.7,7.68,14.719000000000001,12.710999999999999,,5274.0,4.32,-0.428,0.85,1.09,-0.01,4.68
Kepler-119,b,Kepler-119 b,0,2.422082,0.035,,12.6,3.6,14.2,12.58,,5595.0,4.57,-0.081,1.01,0.84,0.01,3.63
Kepler-119,c,Kepler-119 c,0,4.125103,0.049,,0.721,0.92,14.2,12.58,,5595.0,4.57,-0.081,1.01,0.84,0.01,3.63
Kepler-120,b,Kepler-120 b,0,6.312501,0.055,,8.5,2.15,14.719000000000001,12.307,M0 V,4096.0,4.73,-0.752,0.72,0.53,-0.12,3.63
Kepler-120,c,Kepler-120 c,0,12.794585,0.088,,2.96,1.53,14.719000000000001,12.307,M0 V,4096.0,4.73,-0.752,0.72,0.53,-0.12,3.63
Kepler-121,b,Kepler-121 b,0,3.177422,0.039,,6.08,2.34,14.677,12.796,,5311.0,4.65,-0.532,0.86,0.7,-0.08,4.47
Kepler-121,c,Kepler-121 c,0,41.008011,0.216,,5.77,2.27,14.677,12.796,,5311.0,4.65,-0.532,0.86,0.7,-0.08,4.47
Kepler-122,b,Kepler-122 b,0,5.766193,0.064,,6.08,2.34,14.222000000000001,12.825999999999999,,6050.0,4.3,0.23199999999999998,1.08,1.22,-0.06,3.89
Kepler-122,c,Kepler-122 c,0,12.465988,0.108,,29.0,5.87,14.222000000000001,12.825999999999999,,6050.0,4.3,0.23199999999999998,1.08,1.22,-0.06,3.89
Kepler-122,d,Kepler-122 d,0,21.587475,0.155,,5.48,2.2,14.222000000000001,12.825999999999999,,6050.0,4.3,0.23199999999999998,1.08,1.22,-0.06,3.89
Kepler-122,e,Kepler-122 e,0,37.993273,0.227,,27.7,2.6,14.222000000000001,12.825999999999999,,6050.0,4.3,0.23199999999999998,1.08,1.22,-0.06,3.89
Kepler-122,f,Kepler-122 f,0,56.268,,,36.0,1.75,14.222000000000001,12.825999999999999,,6050.0,4.3,0.23199999999999998,1.08,1.22,-0.06,3.89
Kepler-123,b,Kepler-123 b,0,17.232366,0.135,,55.3,2.94,14.020999999999999,12.655,,6089.0,4.28,0.304,1.12,1.26,-0.03,3.55
Kepler-123,c,Kepler-123 c,0,26.695074,0.181,,2.79,1.48,14.020999999999999,12.655,,6089.0,4.28,0.304,1.12,1.26,-0.03,3.55
Kepler-124,b,Kepler-124 b,0,3.410493,0.039,,0.315,0.73,14.124,12.232999999999999,,4984.0,4.67,-0.48200000000000004,0.73,0.64,-0.46,1.82
Kepler-124,c,Kepler-124 c,0,13.821375,0.1,,3.71,1.75,14.124,12.232999999999999,,4984.0,4.67,-0.48200000000000004,0.73,0.64,-0.46,1.82
Kepler-124,d,Kepler-124 d,0,30.950851,0.17,,1.41,1.11,14.124,12.232999999999999,,4984.0,4.67,-0.48200000000000004,0.73,0.64,-0.46,1.82
Kepler-125,b,Kepler-125 b,0,4.164389,0.041,,6.21,2.37,14.767999999999999,11.682,M1 V,3810.0,4.74,-1.328,0.53,0.51,-0.14,3.8
Kepler-125,c,Kepler-125 c,0,5.774464,0.051,,0.33,0.74,14.767999999999999,11.682,M1 V,3810.0,4.74,-1.328,0.53,0.51,-0.14,3.8
Kepler-126,b,Kepler-126 b,0,10.495711,0.099,0.07,2.92,1.52,10.454,9.344,,6239.0,4.25,0.439,1.15,1.36,-0.07,3.39
Kepler-126,c,Kepler-126 c,0,21.869741,0.162,0.19,3.12,1.58,10.454,9.344,,6239.0,4.25,0.439,1.15,1.36,-0.07,3.39
Kepler-126,d,Kepler-126 d,0,100.283134,0.448,0.02,6.8,2.5,10.454,9.344,,6239.0,4.25,0.439,1.15,1.36,-0.07,3.39
Kepler-127,b,Kepler-127 b,0,14.435889,0.125,0.47,2.54,1.4,11.437999999999999,10.234,,6106.0,4.26,0.39299999999999996,1.25,1.36,0.24,2.63
Kepler-127,c,Kepler-127 c,0,29.393195,0.2,0.03,7.56,2.66,11.437999999999999,10.234,,6106.0,4.26,0.39299999999999996,1.25,1.36,0.24,2.63
Kepler-127,d,Kepler-127 d,0,48.630408,0.28,0.03,7.46,2.64,11.437999999999999,10.234,,6106.0,4.26,0.39299999999999996,1.25,1.36,0.24,2.63
Kepler-128,b,Kepler-128 b,0,15.09,0.1264,,0.77,1.43,11.289000000000001,10.109,,6136.0,4.07,0.557,1.09,1.61,0.0,4.07
Kepler-128,c,Kepler-128 c,0,22.804,0.1664,,0.9,1.34,11.289000000000001,10.109,,6136.0,4.07,0.557,1.09,1.61,0.0,4.07
Kepler-129,b,Kepler-129 b,0,15.79186,0.131,0.01,6.21,2.37,11.644,10.252,,5770.0,4.09,0.45399999999999996,1.07,1.64,0.33,8.91
Kepler-129,c,Kepler-129 c,0,82.20017,0.393,0.2,7.04,2.55,11.644,10.252,,5770.0,4.09,0.45399999999999996,1.07,1.64,0.33,8.91
Kepler-130,b,Kepler-130 b,0,8.457458,0.079,0.15,1.04,1.02,11.825,10.49,,5884.0,4.3,0.147,1.02,1.13,-0.14,5.89
Kepler-130,c,Kepler-130 c,0,27.50868,0.178,0.0,8.75,2.9,11.825,10.49,,5884.0,4.3,0.147,1.02,1.13,-0.14,5.89
Kepler-130,d,Kepler-130 d,0,87.517905,0.377,0.8,3.33,1.64,11.825,10.49,,5884.0,4.3,0.147,1.02,1.13,-0.14,5.89
Kepler-131,b,Kepler-131 b,0,16.092,,,16.13,2.41,11.49,10.079,,5685.0,4.42,0.003,1.02,1.03,0.12,3.66
Kepler-131,c,Kepler-131 c,0,25.5169,,,8.25,0.84,11.49,10.079,,5685.0,4.42,0.003,1.02,1.03,0.12,3.66
Kepler-132,b,Kepler-132 b,0,6.178196,0.067,,1.92,1.21,11.818,10.424000000000001,,6003.0,4.31,0.21100000000000002,1.03,1.18,-0.04,4.37
Kepler-132,c,Kepler-132 c,0,6.414914,0.068,,2.18,1.28,11.818,10.424000000000001,,6003.0,4.31,0.21100000000000002,1.03,1.18,-0.04,4.37
Kepler-132,d,Kepler-132 d,0,18.010199,0.136,,3.02,1.55,11.818,10.424000000000001,,6003.0,4.31,0.21100000000000002,1.03,1.18,-0.04,4.37
Kepler-133,b,Kepler-133 b,0,8.129976,0.083,,3.75,1.76,12.841,11.32,,5736.0,4.19,0.39299999999999996,1.04,1.43,0.15,7.59
Kepler-133,c,Kepler-133 c,0,31.517586,0.204,,8.45,2.84,12.841,11.32,,5736.0,4.19,0.39299999999999996,1.04,1.43,0.15,7.59
Kepler-134,b,Kepler-134 b,0,5.317429,0.06,,4.66,2.0,12.222000000000001,10.950999999999999,,5983.0,4.31,0.036000000000000004,1.06,1.18,-0.04,3.55
Kepler-134,c,Kepler-134 c,0,10.105785,0.092,,2.13,1.26,12.222000000000001,10.950999999999999,,5983.0,4.31,0.036000000000000004,1.06,1.18,-0.04,3.55
Kepler-135,b,Kepler-135 b,0,6.00253,0.067,,3.93,1.81,12.679,11.456,,6090.0,4.27,0.39799999999999996,1.25,1.27,0.18,2.45
Kepler-135,c,Kepler-135 c,0,11.448708,0.103,,1.65,1.16,12.679,11.456,,6090.0,4.27,0.39799999999999996,1.25,1.27,0.18,2.45
Kepler-136,b,Kepler-136 b,0,11.5789,0.106,,19.8,2.05,11.754000000000001,10.519,,6165.0,4.24,0.42,1.21,1.35,0.14,2.75
Kepler-136,c,Kepler-136 c,0,16.399235,0.133,,4.62,1.99,11.754000000000001,10.519,,6165.0,4.24,0.42,1.21,1.35,0.14,2.75
Kepler-137,b,Kepler-137 b,0,8.436387,0.077,,2.76,1.47,12.940999999999999,11.165,,5187.0,4.55,-0.304,0.87,0.8,-0.02,4.27
Kepler-137,c,Kepler-137 c,0,18.735753,0.13,,4.19,1.88,12.940999999999999,11.165,,5187.0,4.55,-0.304,0.87,0.8,-0.02,4.27
Kepler-138,b,Kepler-138 b,0,10.3126,0.076,0.006,0.066,0.522,12.472000000000001,9.506,M1 V,3841.0,4.89,-1.222,0.52,0.44,-0.28,4.68
Kepler-138,c,Kepler-138 c,0,13.7813,0.0906,0.011,1.97,1.197,12.472000000000001,9.506,M1 V,3841.0,4.89,-1.222,0.52,0.44,-0.28,4.68
Kepler-138,d,Kepler-138 d,0,23.0881,0.12780999999999998,0.027,0.64,1.212,12.472000000000001,9.506,M1 V,3841.0,4.89,-1.222,0.52,0.44,-0.28,4.68
Kepler-139,b,Kepler-139 b,0,15.771044,0.127,,8.96,2.94,12.677,11.167,,5594.0,4.25,0.006999999999999999,1.05,1.3,0.28,5.62
Kepler-139,c,Kepler-139 c,0,157.072878,0.586,,11.4,3.38,12.677,11.167,,5594.0,4.25,0.006999999999999999,1.05,1.3,0.28,5.62
Kepler-140,b,Kepler-140 b,0,3.25427,0.045,,3.22,1.61,12.940999999999999,11.709000000000001,,6077.0,4.27,0.23600000000000002,1.15,1.29,0.12,1.95
Kepler-140,c,Kepler-140 c,0,91.353282,0.414,,3.89,1.8,12.940999999999999,11.709000000000001,,6077.0,4.27,0.23600000000000002,1.15,1.29,0.12,1.95
Kepler-141,b,Kepler-141 b,0,3.107675,0.039,,0.257,0.69,13.421,11.392999999999999,,4910.0,4.57,-0.47,0.84,0.79,0.16,4.47
Kepler-141,c,Kepler-141 c,0,7.010606,0.067,,2.57,1.41,13.421,11.392999999999999,,4910.0,4.57,-0.47,0.84,0.79,0.16,4.47
Kepler-142,b,Kepler-142 b,0,2.024152,0.032,,4.62,1.99,13.197000000000001,11.762,,5790.0,4.26,0.086,1.06,1.27,0.08,5.5
Kepler-142,c,Kepler-142 c,0,4.761702,0.057,,8.55,2.86,13.197000000000001,11.762,,5790.0,4.26,0.086,1.06,1.27,0.08,5.5
Kepler-142,d,Kepler-142 d,0,41.809118,0.242,,5.31,2.16,13.197000000000001,11.762,,5790.0,4.26,0.086,1.06,1.27,0.08,5.5
Kepler-143,b,Kepler-143 b,0,16.007583,0.127,,6.39,2.41,13.706,12.222999999999999,,5848.0,4.2,0.23,1.06,1.36,0.03,5.62
Kepler-143,c,Kepler-143 c,0,27.082511,0.181,,11.3,3.37,13.706,12.222999999999999,,5848.0,4.2,0.23,1.06,1.36,0.03,5.62
Kepler-144,b,Kepler-144 b,0,5.885273,0.066,,2.33,1.33,11.944,10.792,,6075.0,4.29,0.266,1.13,1.24,0.03,3.02
Kepler-144,c,Kepler-144 c,0,10.104665,0.094,,2.39,1.35,11.944,10.792,,6075.0,4.29,0.266,1.13,1.24,0.03,3.02
Kepler-145,b,Kepler-145 b,0,22.951,,0.43,37.1,2.65,11.875,10.628,,6022.0,3.95,0.635,1.28,1.98,0.1,3.24
Kepler-145,c,Kepler-145 c,0,42.882,,0.11,79.4,4.32,11.875,10.628,,6022.0,3.95,0.635,1.28,1.98,0.1,3.24
Kepler-146,b,Kepler-146 b,0,31.158799,0.2,,13.3,3.71,13.802999999999999,12.475,,5948.0,4.31,0.079,1.1,1.21,0.03,3.63
Kepler-146,c,Kepler-146 c,0,76.732171,0.364,,9.96,3.13,13.802999999999999,12.475,,5948.0,4.31,0.079,1.1,1.21,0.03,3.63
Kepler-147,b,Kepler-147 b,0,12.610584,0.113,,2.96,1.53,13.915,12.415999999999999,,6012.0,4.18,0.371,1.14,1.47,0.07,4.47
Kepler-147,c,Kepler-147 c,0,33.416423,0.216,,6.48,2.43,13.915,12.415999999999999,,6012.0,4.18,0.371,1.14,1.47,0.07,4.47
Kepler-148,b,Kepler-148 b,0,1.729366,0.028,,3.89,1.8,15.335999999999999,13.359000000000002,,5272.0,4.55,-0.408,0.86,0.85,0.07,4.68
Kepler-148,c,Kepler-148 c,0,4.180043,0.05,,12.6,3.6,15.335999999999999,13.359000000000002,,5272.0,4.55,-0.408,0.86,0.85,0.07,4.68
Kepler-149,b,Kepler-149 b,0,29.198943,0.184,,16.5,4.21,14.019,12.184000000000001,,5381.0,4.46,-0.18100000000000002,0.92,0.95,0.17,6.31
Kepler-149,c,Kepler-149 c,0,55.328328,0.281,,3.22,1.61,14.019,12.184000000000001,,5381.0,4.46,-0.18100000000000002,0.92,0.95,0.17,6.31
Kepler-149,d,Kepler-149 d,0,160.018032,0.571,,14.9,3.96,14.019,12.184000000000001,,5381.0,4.46,-0.18100000000000002,0.92,0.95,0.17,6.31
Kepler-150,b,Kepler-150 b,0,3.428054,0.044,,2.1,1.25,14.974,13.367,,5560.0,4.47,-0.18,0.94,0.94,-0.02,4.57
Kepler-150,c,Kepler-150 c,0,7.381998,0.073,,13.2,3.69,14.974,13.367,,5560.0,4.47,-0.18,0.94,0.94,-0.02,4.57
Kepler-150,d,Kepler-150 d,0,12.56093,0.104,,8.2,2.79,14.974,13.367,,5560.0,4.47,-0.18,0.94,0.94,-0.02,4.57
Kepler-150,e,Kepler-150 e,0,30.826557,0.189,,9.91,3.12,14.974,13.367,,5560.0,4.47,-0.18,0.94,0.94,-0.02,4.57
Kepler-151,b,Kepler-151 b,0,15.228958,0.116,,9.59,3.06,14.719000000000001,12.864,,5460.0,4.55,-0.36200000000000004,0.87,0.83,-0.03,4.68
Kepler-151,c,Kepler-151 c,0,24.674612,0.16,,5.02,2.09,14.719000000000001,12.864,,5460.0,4.55,-0.36200000000000004,0.87,0.83,-0.03,4.68
Kepler-152,b,Kepler-152 b,0,18.207973,0.124,,8.2,2.79,14.244000000000002,12.300999999999998,,5088.0,4.61,-0.485,0.83,0.72,-0.16,2.0
Kepler-152,c,Kepler-152 c,0,88.255055,0.356,,6.3,2.39,14.244000000000002,12.300999999999998,,5088.0,4.61,-0.485,0.83,0.72,-0.16,2.0
Kepler-153,b,Kepler-153 b,0,18.870227,0.129,,8.85,2.92,14.249,12.418,,5404.0,4.45,-0.461,0.83,0.89,-0.12,4.79
Kepler-153,c,Kepler-153 c,0,46.90232,0.237,,6.94,2.53,14.249,12.418,,5404.0,4.45,-0.461,0.83,0.89,-0.12,4.79
Kepler-154,b,Kepler-154 b,0,33.040532,0.198,,5.73,2.26,14.512,12.985999999999999,,5690.0,4.42,0.016,0.98,1.0,-0.04,4.47
Kepler-154,c,Kepler-154 c,0,62.303276,0.303,,9.01,2.95,14.512,12.985999999999999,,5690.0,4.42,0.016,0.98,1.0,-0.04,4.47
Kepler-155,b,Kepler-155 b,0,5.931194,0.056,,5.02,2.09,14.24,11.805,M0 V,4508.0,4.68,-0.759,0.72,0.62,-0.06,2.9
Kepler-155,c,Kepler-155 c,0,52.661793,0.242,,5.65,2.24,14.24,11.805,M0 V,4508.0,4.68,-0.759,0.72,0.62,-0.06,2.9
Kepler-156,b,Kepler-156 b,0,4.973456,0.054,,5.9,2.3,14.155999999999999,12.155,,5094.0,4.55,-0.441,0.84,0.81,0.04,5.37
Kepler-156,c,Kepler-156 c,0,15.906801,0.117,,7.04,2.55,14.155999999999999,12.155,,5094.0,4.55,-0.441,0.84,0.81,0.04,5.37
Kepler-157,b,Kepler-157 b,0,1.732342,0.028,,2.3,1.32,14.037,12.573,,5774.0,4.39,0.054000000000000006,1.02,1.04,-0.01,4.07
Kepler-157,c,Kepler-157 c,0,13.5405,0.11,,5.65,2.24,14.037,12.573,,5774.0,4.39,0.054000000000000006,1.02,1.04,-0.01,4.07
Kepler-158,b,Kepler-158 b,0,16.709184,0.111,,5.14,2.12,14.417,12.057,,4623.0,4.66,-0.836,0.75,0.62,-0.03,3.98
Kepler-158,c,Kepler-158 c,0,28.551383,0.158,,4.27,1.9,14.417,12.057,,4623.0,4.66,-0.836,0.75,0.62,-0.03,3.98
Kepler-159,b,Kepler-159 b,0,10.139623,0.082,,6.26,2.38,14.888,12.357000000000001,M0 V,4625.0,4.65,-0.775,0.76,0.66,-0.28,2.51
Kepler-159,c,Kepler-159 c,0,43.595792,0.218,,11.5,3.41,14.888,12.357000000000001,M0 V,4625.0,4.65,-0.775,0.76,0.66,-0.28,2.51
Kepler-160,b,Kepler-160 b,0,4.309427,0.05,,2.99,1.54,14.616,13.052,,5857.0,4.51,0.004,0.97,0.88,-0.01,4.07
Kepler-160,c,Kepler-160 c,0,13.699087,0.109,,12.7,3.61,14.616,13.052,,5857.0,4.51,0.004,0.97,0.88,-0.01,4.07
Kepler-161,b,Kepler-161 b,0,4.921355,0.054,,12.1,2.12,14.192,12.245999999999999,,5078.0,4.55,-0.469,0.86,0.81,0.07,4.68
Kepler-161,c,Kepler-161 c,0,7.06424,0.068,,11.8,2.05,14.192,12.245999999999999,,5078.0,4.55,-0.469,0.86,0.81,0.07,4.68
Kepler-162,b,Kepler-162 b,0,6.919798,0.069,,2.13,1.26,14.222999999999999,12.658,,5816.0,4.44,0.083,1.12,0.96,0.03,3.02
Kepler-162,c,Kepler-162 c,0,19.446355,0.137,,9.43,3.03,14.222999999999999,12.658,,5816.0,4.44,0.083,1.12,0.96,0.03,3.02
Kepler-163,b,Kepler-163 b,0,7.810937,0.078,,1.16,1.05,14.38,12.784,,5776.0,4.52,-0.17,0.98,0.92,0.02,4.27
Kepler-163,c,Kepler-163 c,0,21.347262,0.152,,5.73,2.26,14.38,12.784,,5776.0,4.52,-0.17,0.98,0.92,0.02,4.27
Kepler-164,b,Kepler-164 b,0,5.03503,0.058,,2.57,1.41,14.232999999999999,12.935,,5888.0,4.33,0.09699999999999999,1.09,1.15,0.0,3.47
Kepler-164,c,Kepler-164 c,0,10.945723,0.097,,7.9,2.73,14.232999999999999,12.935,,5888.0,4.33,0.09699999999999999,1.09,1.15,0.0,3.47
Kepler-164,d,Kepler-164 d,0,28.986769,0.187,,6.57,2.45,14.232999999999999,12.935,,5888.0,4.33,0.09699999999999999,1.09,1.15,0.0,3.47
Kepler-165,b,Kepler-165 b,0,8.180848,0.072,,5.99,2.32,14.794,12.843,,5211.0,4.54,-0.49200000000000005,0.8,0.77,-0.12,5.01
Kepler-165,c,Kepler-165 c,0,15.31299,0.11,,5.6,2.23,14.794,12.843,,5211.0,4.54,-0.49200000000000005,0.8,0.77,-0.12,5.01
Kepler-166,b,Kepler-166 b,0,7.650254,0.072,,5.77,2.27,14.685,12.876,,5413.0,4.62,-0.391,0.88,0.74,-0.03,4.47
Kepler-166,c,Kepler-166 c,0,34.260281,0.195,,6.26,2.38,14.685,12.876,,5413.0,4.62,-0.391,0.88,0.74,-0.03,4.47
Kepler-167,b,Kepler-167 b,0,4.3931632,0.0483,0.0,3.24,1.615,14.0,11.832,K4,4890.0,4.61,-0.57,0.77,0.73,-0.03,3.3
Kepler-167,c,Kepler-167 c,0,7.406114,0.0684,0.0,3.01,1.548,14.0,11.832,K4,4890.0,4.61,-0.57,0.77,0.73,-0.03,3.3
Kepler-168,b,Kepler-168 b,0,4.425391,0.056,,2.73,1.46,14.605,13.206,,6282.0,4.42,0.319,1.3,1.11,0.09,2.29
Kepler-168,c,Kepler-168 c,0,13.193242,0.116,,7.7,2.69,14.605,13.206,,6282.0,4.42,0.319,1.3,1.11,0.09,2.29
Kepler-169,b,Kepler-169 b,0,3.250619,0.04,,1.51,1.13,14.162,12.186,,4997.0,4.58,-0.523,0.84,0.76,0.05,3.72
